model_name,auc_train,auc_test,mean_trace,median_trace,mean_max_eig,median_max_eig,mean_explanation_fit,median_explanation_fit
"NN - (10,)",0.9792486679786876,0.969686845204513,0.14093291591811208,0.14226653041032483,0.03849152976654168,0.03769583000439157,0.16966418293139696,0.17291422568554013
"NN - (20,)",0.9875814679701541,0.9673707614600463,0.13338749613058473,0.13463516870195372,0.03507742161238018,0.034914956819637535,0.1545741090396924,0.15568420762443985
"NN - (30,)",0.9895848333573337,0.9703297201626659,0.12425531958755125,0.12554625336828523,0.028429471897665325,0.029492457076914443,0.14447546517421117,0.1500727551411821
"NN - (40,)",0.9928298852781644,0.9664004470781867,0.12572215390144656,0.12167948877592477,0.0319533497665844,0.028840612181292864,0.14224041433749737,0.1309471754924047
"NN - (50,)",0.9954142599614927,0.9626905784140729,0.1158757255942382,0.11702116634938897,0.02559799402108789,0.02540966534489784,0.12449783940767828,0.1261653522955369
"NN - (60,)",0.997162621268607,0.9714080695478668,0.1198346265129725,0.11855657624828617,0.026828977309851402,0.027413172878155312,0.12754287957308105,0.1244943997422482
"NN - (70,)",0.9985829773276372,0.9713600539908264,0.115918900263469,0.11538581740576778,0.02563867579803497,0.025881246129012523,0.1224935264285104,0.12150038865225676
"NN - (80,)",0.9979142999621327,0.9704017434982267,0.1191503124191448,0.11915819415069055,0.02874767608111826,0.030031581297700775,0.12698716469913965,0.124818939555838
"NN - (90,)",0.9974149586393383,0.9730212588878797,0.11830810088626831,0.11758896785841473,0.027240259472812417,0.026661196002529544,0.12844784806404067,0.12349648259558343
"NN - (100,)",0.9985816439729702,0.9704257512767471,0.11727467868971575,0.11736887007831727,0.027415122744508302,0.02765782336642978,0.12392917728014913,0.12276934108224669
